更新时间: 20260530 20:08:23
总频道数: 74
总源数: 80
平均每个频道源数: 1.1
分类统计:
  央视频道: 17/36 个频道, 20 个源
  卫视频道: 0/41 个频道, 0 个源
  安徽: 0/19 个频道, 0 个源
  北京: 0/3 个频道, 0 个源
  上海: 0/8 个频道, 0 个源
  江苏: 2/31 个频道, 2 个源
  江西: 0/8 个频道, 0 个源
  广东: 3/43 个频道, 3 个源
  广西: 0/8 个频道, 0 个源
  福建: 3/19 个频道, 3 个源
  河南: 0/34 个频道, 0 个源
  河北: 0/19 个频道, 0 个源
  海南: 0/2 个频道, 0 个源
  甘肃: 0/10 个频道, 0 个源
  湖南: 0/15 个频道, 0 个源
  湖北: 0/34 个频道, 0 个源
  浙江: 9/48 个频道, 9 个源
  山东: 0/26 个频道, 0 个源
  山西: 0/13 个频道, 0 个源
  陕西: 0/0 个频道, 0 个源
  云南: 6/10 个频道, 6 个源
  贵州: 0/1 个频道, 0 个源
  四川: 0/19 个频道, 0 个源
  黑龙江: 0/15 个频道, 0 个源
  吉林: 4/11 个频道, 4 个源
  辽宁: 0/8 个频道, 0 个源
  内蒙古: 0/4 个频道, 0 个源
  青海: 0/7 个频道, 0 个源
  体育: 0/3 个频道, 0 个源
  港澳台: 1/155 个频道, 1 个源
  其它: 5/25 个频道, 5 个源
  香港: 0/1 个频道, 0 个源
  美国: 0/1 个频道, 0 个源
  百事通: 0/0 个频道, 0 个源
  yy轮播: 24/34 个频道, 27 个源
